variant,luma_mean,luma_p50,luma_p95,delta_ev,ratio_mean
post,0.2983371662457364,0.337890625,0.501953125,-0.8202003514885673,0.5663624613637892
render,0.2957551527360664,0.337890625,0.501953125,-0.8327407223395072,0.5614607739709192
