variant,luma_mean,luma_p50,luma_p95,delta_ev,ratio_mean
post,0.3424927135164989,0.388671875,0.576171875,-0.6210713965903237,0.6501872316726128
render,0.33984599781619623,0.384765625,0.572265625,-0.632263525983726,0.6451627138178079
